X1,practice,period,total_scripts,total_quantity,high_dose_scripts,high_dose_quantity
25138,F81608,2018-03-01,4,8,4,8
26938,F83664,2018-10-01,1,16,1,16
27752,F84636,2018-01-01,1,8,1,8
27903,F84673,2018-03-01,1,4,1,4
27908,F84673,2018-09-01,1,4,1,4
27978,F84692,2018-04-01,1,4,1,4
27983,F84692,2018-10-01,1,4,1,4
28181,F84737,2018-06-01,1,4,1,4
28235,F84749,2018-02-01,1,8,1,8
28236,F84749,2018-03-01,1,8,1,8
28381,F85024,2018-05-01,1,16,1,16
28711,F85623,2018-02-01,1,8,1,8
28884,F85681,2018-10-01,3,16,3,16
28946,F85700,2018-01-01,1,4,1,4
28991,F85707,2018-08-01,3,20,3,20
28992,F85707,2018-09-01,2,12,2,12
30717,G81696,2018-09-01,1,6,1,6
32952,G83003,2018-01-01,4,40,4,40
33461,G83663,2018-10-01,2,8,2,8
33469,G83672,2018-08-01,1,8,1,8
33859,G84624,2018-02-01,2,28,2,28
33861,G84624,2018-04-01,2,32,2,32
33863,G84624,2018-06-01,1,16,1,16
33864,G84624,2018-08-01,1,16,1,16
33865,G84624,2018-09-01,1,16,1,16
33867,G84624,2018-11-01,2,32,2,32
38750,H85637,2018-05-01,2,12,2,12
38752,H85637,2018-08-01,4,19,4,19
41120,J82198,2018-01-01,4,36,4,36
41123,J82198,2018-05-01,4,28,4,28
41616,J83035,2018-01-01,1,14,1,14
41725,J83047,2018-03-01,1,1,1,1
41805,J83057,2018-09-01,1,24,1,24
43597,K82062,2018-03-01,2,16,2,16
43599,K82062,2018-05-01,3,32,3,32
44385,K83081,2018-05-01,3,24,3,24
44386,K83081,2018-06-01,1,8,1,8
44387,K83081,2018-08-01,1,8,1,8
44388,K83081,2018-09-01,1,8,1,8
44594,K84012,2018-04-01,1,12,1,12
53867,M85139,2018-01-01,1,4,1,4
53868,M85139,2018-03-01,3,12,3,12
54209,M85680,2018-02-01,1,16,1,16
54210,M85680,2018-03-01,1,16,1,16
54212,M85680,2018-06-01,1,16,1,16
54213,M85680,2018-08-01,1,16,1,16
54215,M85680,2018-10-01,1,16,1,16
54342,M85730,2018-02-01,1,8,1,8
54418,M85753,2018-03-01,1,12,1,12
54424,M85753,2018-11-01,1,12,1,12
54502,M85782,2018-02-01,1,16,1,16
54503,M85782,2018-03-01,1,16,1,16
54504,M85782,2018-05-01,1,16,1,16
54536,M85797,2018-02-01,1,8,1,8
54537,M85797,2018-03-01,1,8,1,8
54538,M85797,2018-04-01,1,8,1,8
54539,M85797,2018-05-01,1,8,1,8
54540,M85797,2018-08-01,1,8,1,8
54541,M85797,2018-09-01,1,8,1,8
54542,M85797,2018-10-01,1,8,1,8
54543,M85797,2018-11-01,1,8,1,8
56644,M91629,2018-09-01,2,16,2,16
63564,P84033,2018-05-01,1,4,1,4
64520,P85622,2018-01-01,1,8,1,8
67000,Y00200,2018-09-01,1,24,1,24
67150,Y00329,2018-10-01,1,28,1,28
67181,Y00384,2018-08-01,1,8,1,8
67333,Y00533,2018-09-01,1,9,1,9
67473,Y00751,2018-03-01,1,1,1,1
67503,Y00809,2018-11-01,1,8,1,8
67511,Y00902,2018-01-01,1,8,1,8
67513,Y00902,2018-03-01,1,8,1,8
67514,Y00902,2018-04-01,1,8,1,8
67516,Y00902,2018-06-01,1,8,1,8
67518,Y00902,2018-09-01,1,8,1,8
67519,Y00902,2018-10-01,1,8,1,8
67797,Y01280,2018-06-01,2,24,2,24
67798,Y01280,2018-10-01,1,12,1,12
68019,Y02077,2018-09-01,1,15,1,15
68163,Y02325,2018-08-01,1,4,1,4
68506,Y02585,2018-06-01,1,16,1,16
68581,Y02615,2018-02-01,1,2,1,2
69026,Y02794,2018-04-01,1,8,1,8
69028,Y02794,2018-08-01,1,8,1,8
69103,Y02837,2018-04-01,1,2,1,2
69107,Y02842,2018-06-01,1,4,1,4
69108,Y02842,2018-08-01,1,4,1,4
69110,Y02842,2018-10-01,2,9,2,9
69133,Y02859,2018-09-01,1,4,1,4
69394,Y03110,2018-05-01,1,120,1,120
69458,Y03244,2018-02-01,1,84,1,84
69536,Y03474,2018-08-01,1,22,1,22
69677,Y03922,2018-05-01,1,10,1,10
69780,Y04572,2018-04-01,1,4,1,4
69950,Y04942,2018-02-01,1,10,1,10
69951,Y04942,2018-03-01,1,10,1,10
69953,Y04942,2018-06-01,1,10,1,10
70008,Y04965,2018-10-01,1,4,1,4
70009,Y04965,2018-11-01,1,4,1,4
70041,Y04990,2018-04-01,1,60,1,60
70042,Y04990,2018-10-01,1,60,1,60
70053,Y04996,2018-01-01,2,6,2,6
70159,Y05181,2018-06-01,1,90,1,90
70195,Y05273,2018-04-01,1,28,1,28
70254,Y05332,2018-02-01,1,180,1,180
70255,Y05332,2018-06-01,1,90,1,90
70325,Y05566,2018-10-01,1,4,1,4
70351,Y05686,2018-02-01,1,15,1,15
70365,Y05719,2018-03-01,1,4,1,4
70418,Y05863,2018-09-01,1,8,1,8
70419,Y05880,2018-09-01,1,30,1,30
70466,Y06028,2018-11-01,1,36,1,36
